"OrderID","CustomerID","EmployeeID","OrderDate","RequiredDate","ShippedDate","ShipVia","Freight","ShipName","ShipAddress","ShipCity","ShipRegion","ShipPostalCode","ShipCountry"
10332,"MEREP",3,10/17/1996 0:00:00,11/28/1996 0:00:00,10/21/1996 0:00:00,2,$52.84,"Mère Paillarde","43 rue St. Laurent","Montréal","Québec","H1J 1C3","Canada"
10339,"MEREP",2,10/28/1996 0:00:00,11/25/1996 0:00:00,11/4/1996 0:00:00,2,$15.66,"Mère Paillarde","43 rue St. Laurent","Montréal","Québec","H1J 1C3","Canada"
10376,"MEREP",1,12/9/1996 0:00:00,1/6/1997 0:00:00,12/13/1996 0:00:00,2,$20.39,"Mère Paillarde","43 rue St. Laurent","Montréal","Québec","H1J 1C3","Canada"
10389,"BOTTM",4,12/20/1996 0:00:00,1/17/1997 0:00:00,12/24/1996 0:00:00,2,$47.42,"Bottom-Dollar Markets","23 Tsawassen Blvd.","Tsawassen","BC","T2F 8M4","Canada"
10410,"BOTTM",3,1/10/1997 0:00:00,2/7/1997 0:00:00,1/15/1997 0:00:00,3,$2.40,"Bottom-Dollar Markets","23 Tsawassen Blvd.","Tsawassen","BC","T2F 8M4","Canada"
10411,"BOTTM",9,1/10/1997 0:00:00,2/7/1997 0:00:00,1/21/1997 0:00:00,3,$23.65,"Bottom-Dollar Markets","23 Tsawassen Blvd.","Tsawassen","BC","T2F 8M4","Canada"
10424,"MEREP",7,1/23/1997 0:00:00,2/20/1997 0:00:00,1/27/1997 0:00:00,2,$370.61,"Mère Paillarde","43 rue St. Laurent","Montréal","Québec","H1J 1C3","Canada"
10431,"BOTTM",4,1/30/1997 0:00:00,2/13/1997 0:00:00,2/7/1997 0:00:00,2,$44.17,"Bottom-Dollar Markets","23 Tsawassen Blvd.","Tsawassen","BC","T2F 8M4","Canada"
10439,"MEREP",6,2/7/1997 0:00:00,3/7/1997 0:00:00,2/10/1997 0:00:00,3,$4.07,"Mère Paillarde","43 rue St. Laurent","Montréal","Québec","H1J 1C3","Canada"
10492,"BOTTM",3,4/1/1997 0:00:00,4/29/1997 0:00:00,4/11/1997 0:00:00,1,$62.89,"Bottom-Dollar Markets","23 Tsawassen Blvd.","Tsawassen","BC","T2F 8M4","Canada"
10495,"LAUGB",3,4/3/1997 0:00:00,5/1/1997 0:00:00,4/11/1997 0:00:00,3,$4.65,"Laughing Bacchus Wine Cellars","2319 Elm St.","Vancouver","BC","V3F 2K1","Canada"
10505,"MEREP",3,4/14/1997 0:00:00,5/12/1997 0:00:00,4/21/1997 0:00:00,3,$7.13,"Mère Paillarde","43 rue St. Laurent","Montréal","Québec","H1J 1C3","Canada"
10565,"MEREP",8,6/11/1997 0:00:00,7/9/1997 0:00:00,6/18/1997 0:00:00,2,$7.15,"Mère Paillarde","43 rue St. Laurent","Montréal","Québec","H1J 1C3","Canada"
10570,"MEREP",3,6/17/1997 0:00:00,7/15/1997 0:00:00,6/19/1997 0:00:00,3,$188.99,"Mère Paillarde","43 rue St. Laurent","Montréal","Québec","H1J 1C3","Canada"
10590,"MEREP",4,7/7/1997 0:00:00,8/4/1997 0:00:00,7/14/1997 0:00:00,3,$44.77,"Mère Paillarde","43 rue St. Laurent","Montréal","Québec","H1J 1C3","Canada"
10605,"MEREP",1,7/21/1997 0:00:00,8/18/1997 0:00:00,7/29/1997 0:00:00,2,$379.13,"Mère Paillarde","43 rue St. Laurent","Montréal","Québec","H1J 1C3","Canada"
10618,"MEREP",1,8/1/1997 0:00:00,9/12/1997 0:00:00,8/8/1997 0:00:00,1,$154.68,"Mère Paillarde","43 rue St. Laurent","Montréal","Québec","H1J 1C3","Canada"
10619,"MEREP",3,8/4/1997 0:00:00,9/1/1997 0:00:00,8/7/1997 0:00:00,3,$91.05,"Mère Paillarde","43 rue St. Laurent","Montréal","Québec","H1J 1C3","Canada"
10620,"LAUGB",2,8/5/1997 0:00:00,9/2/1997 0:00:00,8/14/1997 0:00:00,3,$0.94,"Laughing Bacchus Wine Cellars","2319 Elm St.","Vancouver","BC","V3F 2K1","Canada"
10724,"MEREP",8,10/30/1997 0:00:00,12/11/1997 0:00:00,11/5/1997 0:00:00,2,$57.75,"Mère Paillarde","43 rue St. Laurent","Montréal","Québec","H1J 1C3","Canada"
10742,"BOTTM",3,11/14/1997 0:00:00,12/12/1997 0:00:00,11/18/1997 0:00:00,3,$243.73,"Bottom-Dollar Markets","23 Tsawassen Blvd.","Tsawassen","BC","T2F 8M4","Canada"
10810,"LAUGB",2,1/1/1998 0:00:00,1/29/1998 0:00:00,1/7/1998 0:00:00,3,$4.33,"Laughing Bacchus Wine Cellars","2319 Elm St.","Vancouver","BC","V3F 2K1","Canada"
10918,"BOTTM",3,3/2/1998 0:00:00,3/30/1998 0:00:00,3/11/1998 0:00:00,3,$48.83,"Bottom-Dollar Markets","23 Tsawassen Blvd.","Tsawassen","BC","T2F 8M4","Canada"
10944,"BOTTM",6,3/12/1998 0:00:00,3/26/1998 0:00:00,3/13/1998 0:00:00,3,$52.92,"Bottom-Dollar Markets","23 Tsawassen Blvd.","Tsawassen","BC","T2F 8M4","Canada"
10949,"BOTTM",2,3/13/1998 0:00:00,4/10/1998 0:00:00,3/17/1998 0:00:00,3,$74.44,"Bottom-Dollar Markets","23 Tsawassen Blvd.","Tsawassen","BC","T2F 8M4","Canada"
10975,"BOTTM",1,3/25/1998 0:00:00,4/22/1998 0:00:00,3/27/1998 0:00:00,3,$32.27,"Bottom-Dollar Markets","23 Tsawassen Blvd.","Tsawassen","BC","T2F 8M4","Canada"
10982,"BOTTM",2,3/27/1998 0:00:00,4/24/1998 0:00:00,4/8/1998 0:00:00,1,$14.01,"Bottom-Dollar Markets","23 Tsawassen Blvd.","Tsawassen","BC","T2F 8M4","Canada"
11027,"BOTTM",1,4/16/1998 0:00:00,5/14/1998 0:00:00,4/20/1998 0:00:00,1,$52.52,"Bottom-Dollar Markets","23 Tsawassen Blvd.","Tsawassen","BC","T2F 8M4","Canada"
11045,"BOTTM",6,4/23/1998 0:00:00,5/21/1998 0:00:00,,2,$70.58,"Bottom-Dollar Markets","23 Tsawassen Blvd.","Tsawassen","BC","T2F 8M4","Canada"
11048,"BOTTM",7,4/24/1998 0:00:00,5/22/1998 0:00:00,4/30/1998 0:00:00,3,$24.12,"Bottom-Dollar Markets","23 Tsawassen Blvd.","Tsawassen","BC","T2F 8M4","Canada"
