"OrderID","CustomerID","EmployeeID","OrderDate","RequiredDate","ShippedDate","ShipVia","Freight","ShipName","ShipAddress","ShipCity","ShipRegion","ShipPostalCode","ShipCountry"
10249,"TRADH",6,7/5/1996 0:00:00,8/16/1996 0:00:00,7/10/1996 0:00:00,1,$11.61,"Toms Spezialitäten","Luisenstr. 48","Münster",,"44087","Germany"
10260,"OLDWO",4,7/19/1996 0:00:00,8/16/1996 0:00:00,7/29/1996 0:00:00,1,$55.09,"Ottilies Käseladen","Mehrheimerstr. 369","Köln",,"50739","Germany"
10267,"FRANK",4,7/29/1996 0:00:00,8/26/1996 0:00:00,8/6/1996 0:00:00,1,$208.58,"Frankenversand","Berliner Platz 43","München",,"80805","Germany"
10273,"QUICK",3,8/5/1996 0:00:00,9/2/1996 0:00:00,8/12/1996 0:00:00,3,$76.07,"QUICK-Stop","Taucherstraße 10","Cunewalde",,"01307","Germany"
10277,"MORGK",2,8/9/1996 0:00:00,9/6/1996 0:00:00,8/13/1996 0:00:00,3,$125.77,"Morgenstern Gesundkost","Heerstr. 22","Leipzig",,"04179","Germany"
10279,"LEHMS",8,8/13/1996 0:00:00,9/10/1996 0:00:00,8/16/1996 0:00:00,2,$25.83,"Lehmanns Marktstand","Magazinweg 7","Frankfurt a.M. ",,"60528","Germany"
10284,"LEHMS",4,8/19/1996 0:00:00,9/16/1996 0:00:00,8/27/1996 0:00:00,1,$76.56,"Lehmanns Marktstand","Magazinweg 7","Frankfurt a.M. ",,"60528","Germany"
10285,"QUICK",1,8/20/1996 0:00:00,9/17/1996 0:00:00,8/26/1996 0:00:00,2,$76.83,"QUICK-Stop","Taucherstraße 10","Cunewalde",,"01307","Germany"
10286,"QUICK",8,8/21/1996 0:00:00,9/18/1996 0:00:00,8/30/1996 0:00:00,3,$229.24,"QUICK-Stop","Taucherstraße 10","Cunewalde",,"01307","Germany"
10301,"WANDK",8,9/9/1996 0:00:00,10/7/1996 0:00:00,9/17/1996 0:00:00,2,$45.08,"Die Wandernde Kuh","Adenauerallee 900","Stuttgart",,"70563","Germany"
10312,"WANDK",2,9/23/1996 0:00:00,10/21/1996 0:00:00,10/3/1996 0:00:00,2,$40.26,"Die Wandernde Kuh","Adenauerallee 900","Stuttgart",,"70563","Germany"
10313,"QUICK",2,9/24/1996 0:00:00,10/22/1996 0:00:00,10/4/1996 0:00:00,2,$1.96,"QUICK-Stop","Taucherstraße 10","Cunewalde",,"01307","Germany"
10323,"KOENE",4,10/7/1996 0:00:00,11/4/1996 0:00:00,10/14/1996 0:00:00,1,$4.88,"Königlich Essen","Maubelstr. 90","Brandenburg",,"14776","Germany"
