"OrderID","CustomerID","EmployeeID","OrderDate","RequiredDate","ShippedDate","ShipVia","Freight","ShipName","ShipAddress","ShipCity","ShipRegion","ShipPostalCode","ShipCountry"
10259,"CENTC",4,7/18/1996 0:00:00,8/15/1996 0:00:00,7/25/1996 0:00:00,3,$3.25,"Centro comercial Moctezuma","Sierras de Granada 9993","México D.F.",,"05022","Mexico"
10276,"TORTU",8,8/8/1996 0:00:00,8/22/1996 0:00:00,8/14/1996 0:00:00,3,$13.84,"Tortuga Restaurante","Avda. Azteca 123","México D.F.",,"05033","Mexico"
10293,"TORTU",1,8/29/1996 0:00:00,9/26/1996 0:00:00,9/11/1996 0:00:00,3,$21.18,"Tortuga Restaurante","Avda. Azteca 123","México D.F.",,"05033","Mexico"
10304,"TORTU",1,9/12/1996 0:00:00,10/10/1996 0:00:00,9/17/1996 0:00:00,2,$63.79,"Tortuga Restaurante","Avda. Azteca 123","México D.F.",,"05033","Mexico"
10308,"ANATR",7,9/18/1996 0:00:00,10/16/1996 0:00:00,9/24/1996 0:00:00,3,$1.61,"Ana Trujillo Emparedados y helados","Avda. de la Constitución 2222","México D.F.",,"05021","Mexico"
10319,"TORTU",7,10/2/1996 0:00:00,10/30/1996 0:00:00,10/11/1996 0:00:00,3,$64.50,"Tortuga Restaurante","Avda. Azteca 123","México D.F.",,"05033","Mexico"
10322,"PERIC",7,10/4/1996 0:00:00,11/1/1996 0:00:00,10/23/1996 0:00:00,3,$0.40,"Pericles Comidas clásicas","Calle Dr. Jorge Cash 321","México D.F.",,"05033","Mexico"
10354,"PERIC",8,11/14/1996 0:00:00,12/12/1996 0:00:00,11/20/1996 0:00:00,3,$53.80,"Pericles Comidas clásicas","Calle Dr. Jorge Cash 321","México D.F.",,"05033","Mexico"
10365,"ANTON",3,11/27/1996 0:00:00,12/25/1996 0:00:00,12/2/1996 0:00:00,2,$22.00,"Antonio Moreno Taquería","Mataderos  2312","México D.F.",,"05023","Mexico"
10474,"PERIC",5,3/13/1997 0:00:00,4/10/1997 0:00:00,3/21/1997 0:00:00,2,$83.49,"Pericles Comidas clásicas","Calle Dr. Jorge Cash 321","México D.F.",,"05033","Mexico"
10502,"PERIC",2,4/10/1997 0:00:00,5/8/1997 0:00:00,4/29/1997 0:00:00,1,$69.32,"Pericles Comidas clásicas","Calle Dr. Jorge Cash 321","México D.F.",,"05033","Mexico"
10507,"ANTON",7,4/15/1997 0:00:00,5/13/1997 0:00:00,4/22/1997 0:00:00,1,$47.45,"Antonio Moreno Taquería","Mataderos  2312","México D.F.",,"05023","Mexico"
10518,"TORTU",4,4/25/1997 0:00:00,5/9/1997 0:00:00,5/5/1997 0:00:00,2,$218.15,"Tortuga Restaurante","Avda. Azteca 123","México D.F.",,"05033","Mexico"
10535,"ANTON",4,5/13/1997 0:00:00,6/10/1997 0:00:00,5/21/1997 0:00:00,1,$15.64,"Antonio Moreno Taquería","Mataderos  2312","México D.F.",,"05023","Mexico"
10573,"ANTON",7,6/19/1997 0:00:00,7/17/1997 0:00:00,6/20/1997 0:00:00,3,$84.84,"Antonio Moreno Taquería","Mataderos  2312","México D.F.",,"05023","Mexico"
10576,"TORTU",3,6/23/1997 0:00:00,7/7/1997 0:00:00,6/30/1997 0:00:00,3,$18.56,"Tortuga Restaurante","Avda. Azteca 123","México D.F.",,"05033","Mexico"
10625,"ANATR",3,8/8/1997 0:00:00,9/5/1997 0:00:00,8/14/1997 0:00:00,1,$43.90,"Ana Trujillo Emparedados y helados","Avda. de la Constitución 2222","México D.F.",,"05021","Mexico"
10676,"TORTU",2,9/22/1997 0:00:00,10/20/1997 0:00:00,9/29/1997 0:00:00,2,$2.01,"Tortuga Restaurante","Avda. Azteca 123","México D.F.",,"05033","Mexico"
10677,"ANTON",1,9/22/1997 0:00:00,10/20/1997 0:00:00,9/26/1997 0:00:00,3,$4.03,"Antonio Moreno Taquería","Mataderos  2312","México D.F.",,"05023","Mexico"
10682,"ANTON",3,9/25/1997 0:00:00,10/23/1997 0:00:00,10/1/1997 0:00:00,2,$36.13,"Antonio Moreno Taquería","Mataderos  2312","México D.F.",,"05023","Mexico"
10759,"ANATR",3,11/28/1997 0:00:00,12/26/1997 0:00:00,12/12/1997 0:00:00,3,$11.99,"Ana Trujillo Emparedados y helados","Avda. de la Constitución 2222","México D.F.",,"05021","Mexico"
10842,"TORTU",1,1/20/1998 0:00:00,2/17/1998 0:00:00,1/29/1998 0:00:00,3,$54.42,"Tortuga Restaurante","Avda. Azteca 123","México D.F.",,"05033","Mexico"
10856,"ANTON",3,1/28/1998 0:00:00,2/25/1998 0:00:00,2/10/1998 0:00:00,2,$58.43,"Antonio Moreno Taquería","Mataderos  2312","México D.F.",,"05023","Mexico"
10915,"TORTU",2,2/27/1998 0:00:00,3/27/1998 0:00:00,3/2/1998 0:00:00,2,$3.51,"Tortuga Restaurante","Avda. Azteca 123","México D.F.",,"05033","Mexico"
10926,"ANATR",4,3/4/1998 0:00:00,4/1/1998 0:00:00,3/11/1998 0:00:00,3,$39.92,"Ana Trujillo Emparedados y helados","Avda. de la Constitución 2222","México D.F.",,"05021","Mexico"
10995,"PERIC",1,4/2/1998 0:00:00,4/30/1998 0:00:00,4/6/1998 0:00:00,3,$46.00,"Pericles Comidas clásicas","Calle Dr. Jorge Cash 321","México D.F.",,"05033","Mexico"
11069,"TORTU",1,5/4/1998 0:00:00,6/1/1998 0:00:00,5/6/1998 0:00:00,2,$15.67,"Tortuga Restaurante","Avda. Azteca 123","México D.F.",,"05033","Mexico"
