"OrderID","CustomerID","EmployeeID","OrderDate","RequiredDate","ShippedDate","ShipVia","Freight","ShipName","ShipAddress","ShipCity","ShipRegion","ShipPostalCode","ShipCountry"
10262,"RATTC",8,7/22/1996 0:00:00,8/19/1996 0:00:00,7/25/1996 0:00:00,3,$48.29,"Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA"
10269,"WHITC",5,7/31/1996 0:00:00,8/14/1996 0:00:00,8/9/1996 0:00:00,1,$4.56,"White Clover Markets","1029 - 12th Ave. S.","Seattle","WA","98124","USA"
10271,"SPLIR",6,8/1/1996 0:00:00,8/29/1996 0:00:00,8/30/1996 0:00:00,2,$4.54,"Split Rail Beer & Ale","P.O. Box 555","Lander","WY","82520","USA"
10272,"RATTC",6,8/2/1996 0:00:00,8/30/1996 0:00:00,8/6/1996 0:00:00,2,$98.03,"Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA"
10294,"RATTC",4,8/30/1996 0:00:00,9/27/1996 0:00:00,9/5/1996 0:00:00,2,$147.26,"Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA"
10305,"OLDWO",8,9/13/1996 0:00:00,10/11/1996 0:00:00,10/9/1996 0:00:00,3,$257.62,"Old World Delicatessen","2743 Bering St.","Anchorage","AK","99508","USA"
10307,"LONEP",2,9/17/1996 0:00:00,10/15/1996 0:00:00,9/25/1996 0:00:00,2,$0.56,"Lonesome Pine Restaurant","89 Chiaroscuro Rd.","Portland","OR","97219","USA"
10310,"THEBI",8,9/20/1996 0:00:00,10/18/1996 0:00:00,9/27/1996 0:00:00,2,$17.52,"The Big Cheese","89 Jefferson Way Suite 2","Portland","OR","97201","USA"
10314,"RATTC",1,9/25/1996 0:00:00,10/23/1996 0:00:00,10/4/1996 0:00:00,2,$74.16,"Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA"
10316,"RATTC",1,9/27/1996 0:00:00,10/25/1996 0:00:00,10/8/1996 0:00:00,3,$150.15,"Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA"
10317,"LONEP",6,9/30/1996 0:00:00,10/28/1996 0:00:00,10/10/1996 0:00:00,1,$12.69,"Lonesome Pine Restaurant","89 Chiaroscuro Rd.","Portland","OR","97219","USA"
10324,"SAVEA",9,10/8/1996 0:00:00,11/5/1996 0:00:00,10/10/1996 0:00:00,1,$214.27,"Save-a-lot Markets","187 Suffolk Ln.","Boise","ID","83720","USA"
10329,"SPLIR",4,10/15/1996 0:00:00,11/26/1996 0:00:00,10/23/1996 0:00:00,2,$191.67,"Split Rail Beer & Ale","P.O. Box 555","Lander","WY","82520","USA"
10338,"OLDWO",4,10/25/1996 0:00:00,11/22/1996 0:00:00,10/29/1996 0:00:00,3,$84.21,"Old World Delicatessen","2743 Bering St.","Anchorage","AK","99508","USA"
10344,"WHITC",4,11/1/1996 0:00:00,11/29/1996 0:00:00,11/5/1996 0:00:00,2,$23.29,"White Clover Markets","1029 - 12th Ave. S.","Seattle","WA","98124","USA"
10346,"RATTC",3,11/5/1996 0:00:00,12/17/1996 0:00:00,11/8/1996 0:00:00,3,$142.08,"Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA"
10349,"SPLIR",7,11/8/1996 0:00:00,12/6/1996 0:00:00,11/15/1996 0:00:00,1,$8.63,"Split Rail Beer & Ale","P.O. Box 555","Lander","WY","82520","USA"
10369,"SPLIR",8,12/2/1996 0:00:00,12/30/1996 0:00:00,12/9/1996 0:00:00,2,$195.68,"Split Rail Beer & Ale","P.O. Box 555","Lander","WY","82520","USA"
10375,"HUNGC",3,12/6/1996 0:00:00,1/3/1997 0:00:00,12/9/1996 0:00:00,2,$20.12,"Hungry Coyote Import Store","City Center Plaza 516 Main St.","Elgin","OR","97827","USA"
10385,"SPLIR",1,12/17/1996 0:00:00,1/14/1997 0:00:00,12/23/1996 0:00:00,2,$30.96,"Split Rail Beer & Ale","P.O. Box 555","Lander","WY","82520","USA"
10393,"SAVEA",1,12/25/1996 0:00:00,1/22/1997 0:00:00,1/3/1997 0:00:00,3,$126.56,"Save-a-lot Markets","187 Suffolk Ln.","Boise","ID","83720","USA"
10394,"HUNGC",1,12/25/1996 0:00:00,1/22/1997 0:00:00,1/3/1997 0:00:00,3,$30.34,"Hungry Coyote Import Store","City Center Plaza 516 Main St.","Elgin","OR","97827","USA"
10398,"SAVEA",2,12/30/1996 0:00:00,1/27/1997 0:00:00,1/9/1997 0:00:00,3,$89.16,"Save-a-lot Markets","187 Suffolk Ln.","Boise","ID","83720","USA"
10401,"RATTC",1,1/1/1997 0:00:00,1/29/1997 0:00:00,1/10/1997 0:00:00,1,$12.51,"Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA"
